firstName,lastName,email,phoneNumber,cin,month,age,annual_income,monthly_inhand_salary,total_emi_per_month,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,amount_invested_monthly,payment_behaviour,monthly_balance,auto_loan,credit_builder_loan,debt_consolidation_loan,home_equity_loan,mortgage_loan,no_loan,not_specified,payday_loan,personal_loan,student_loan,occupation_Accountant,occupation_Architect,occupation_Developer,occupation_Doctor,occupation_Engineer,occupation_Entrepreneur,occupation_Journalist,occupation_Lawyer,occupation_Manager,occupation_Mechanic,occupation_Media_Manager,occupation_Musician,occupation_Scientist,occupation_Teacher,occupation_Writer
John,Doe,john.doe@example.com,1234567890,CIN123456,12,46,44462,3035,780,5,5,0.12,1,7,0,0,10,Standard,7913,0.51,10,Yes,807,1,1893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jane,Smith,jane.smith@example.com,0987654321,CIN789101,12,59,86599,6405,2368,4,5,0.12,1,3,0,0,4,Standard,2727,0.51,18,Yes,341,1,3971,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Robert,Brown,robert.brown@example.com,5678901234,CIN234567,12,46,56648,3880,2997,1,2,0.12,1,9,3,0,6,Standard,9259,0.19,13,Yes,427,1,2048,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Emily,Davis,emily.davis@example.com,3456789012,CIN345678,12,32,59274,4186,1938,5,2,0.12,1,10,0,0,3,Standard,4830,0.57,3,Yes,179,1,2686,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Wilson,michael.wilson@example.com,1230987654,CIN456789,12,41,93045,6953,2551,4,5,0.12,1,8,1,0,10,Standard,5063,0.57,15,Yes,176,1,1176,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sarah,Johnson,sarah.johnson@example.com,7890123456,CIN567890,12,34,106846,8273,2484,5,0,0.12,1,1,2,0,8,Standard,8781,0.69,14,Yes,854,1,4062,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
David,Martinez,david.martinez@example.com,2345678901,CIN678901,12,53,74468,5548,2478,2,3,0.12,1,10,3,0,10,Standard,1200,0.51,6,Yes,995,1,504,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Laura,Lee,laura.lee@example.com,8901234567,CIN789012,12,39,94251,7048,2594,5,3,0.12,1,2,1,0,1,Standard,8994,0.38,7,Yes,792,1,4870,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Gonzalez,daniel.gonzalez@example.com,4567890123,CIN890123,12,40,77643,5888,1813,5,4,0.12,1,5,2,0,4,Standard,7161,0.48,4,Yes,113,1,3271,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sophia,Hernandez,sophia.hernandez@example.com,6543210987,CIN901234,12,60,72422,5045,1401,4,5,0.12,1,0,1,0,5,Standard,5328,0.47,7,Yes,731,1,2193,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
