firstName,lastName,email,phoneNumber,cin,customer_id,ssn,month,age,annual_income,monthly_inhand_salary,total_emi_per_month,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,amount_invested_monthly,payment_behaviour,monthly_balance,auto_loan,credit_builder_loan,debt_consolidation_loan,home_equity_loan,mortgage_loan,no_loan,not_specified,payday_loan,personal_loan,student_loan,occupation_Accountant,occupation_Architect,occupation_Developer,occupation_Doctor,occupation_Engineer,occupation_Entrepreneur,occupation_Journalist,occupation_Lawyer,occupation_Manager,occupation_Mechanic,occupation_Media_Manager,occupation_Musician,occupation_Scientist,occupation_Teacher,occupation_Writer,credit_score
Freilichz,Ellen,ellenfreilichz@gmail.com,651321565,ua647,152392,995-31-8948,8.0,55.0,12155275.0,12249396.0,51384845.0,7.0,3.0,9.0,1.0,12.0,15.0,2074.0,5.0,0.0,78665.0,24783777.0,388.0,0.0,124393936.0,1.0,28296155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Cremerm,Andreas,andreascremerm@gmail.com,627107406,ua004,257426,995-31-6338,5.0,22.0,3127227.0,23460225.0,4999592.0,0.0,6.0,6.0,3.0,3.0,6.0,1885.0,2.0,0.0,1089.0,33701126.0,193.0,0.0,98866905.0,4.0,34573944.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Wachtelj,Katya,katyawachtelj@gmail.com,618304338,ua336,437615,995-31-9824,3.0,36.0,1826136.0,148578.0,26024073.0,5.0,3.0,9.0,3.0,14.0,14.0,1743.0,7.0,0.0,230516.0,29645802.0,215.0,0.0,66058464.0,1.0,34649545.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard
Rinkea,Andreas,andreasrinkea@gmail.com,624892739,ua789,930535,995-31-2169,5.0,23.0,862712.0,47392667.0,57013336.0,10.0,5.0,34.0,8.0,17.0,17.0,698.0,16.0,0.0,457885.0,30544266.0,133.0,0.0,25417336.0,3.0,23496199.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Standard
Wrightb,Tricia,triciawrightb@gmail.com,678426375,ua902,111205,995-31-3673,4.0,35.0,563412.0,47551.0,72013756.0,8.0,6.0,13.0,3.0,22.0,10.0,813.0,7.0,0.0,167442.0,2454649.0,109.0,0.0,17604506.0,4.0,48745117.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Good
Noele,ewich,ewichnoele@gmail.com,624384268,ua907,729759,995-31-4621,5.0,22.0,4768605.0,39638374.0,2630192.0,7.0,3.0,19.0,7.0,9.0,6.0,132.0,5.0,0.0,117639.0,25054852.0,179.0,0.0,37354883.0,2.0,39815723.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Standard
Berginf,Tom,tomberginf@gmail.com,627214749,ua445,611128,995-31-8588,2.0,54.0,1852452.0,173971.0,0.0,2.0,3.0,8.0,0.0,14.0,5.0,958.0,3.0,0.0,86536.0,36635056.0,330.0,0.0,4353287.0,4.0,39043814.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Standard
Carewd,Sinead,sineadcarewd@gmail.com,612233403,ua053,919963,995-31-8504,3.0,28.0,759927.0,6407725.0,54039722.0,3.0,7.0,7.0,1.0,5.0,2.0,631.0,0.0,0.0,18701.0,3614166.0,371.0,0.0,11860943.0,5.0,71812335.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Good
Hov,Solarina,solarinahov@gmail.com,699249024,ua297,573560,995-31-5160,7.0,29.0,9737787.0,81358223.0,7090187.0,4.0,3.0,7.0,1.0,11.0,2.0,465.0,3.0,0.0,122322.0,39701626.0,287.0,0.0,19145102.0,6.0,7912294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Standard
Krauskopfo,Lewis,lewiskrauskopfo@gmail.com,641865118,ua037,293406,995-31-2181,4.0,31.0,13028946.0,10677455.0,7606074.0,0.0,4.0,3.0,1.0,3.0,3.0,588.0,0.0,0.0,117561.0,34593094.0,337.0,0.0,3967333.0,2.0,8749515.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Standard
